0.16,-0.08,-0.2649,0.6204,-1.1424,0.67
0.1569,-0.08,-0.2893,0.6726,-1.1424,0.66
0.1538,-0.08,-0.3128,0.7231,-1.1424,0.56
0.1508,-0.08,-0.3355,0.7721,-1.1424,0.55
0.1477,-0.08,-0.3576,0.8198,-1.1424,0.55
0.1446,-0.08,-0.3789,0.8661,-1.1424,0.54
0.1415,-0.08,-0.3997,0.9114,-1.1424,0.53
0.1385,-0.08,-0.42,0.9556,-1.1424,0.52
0.1354,-0.08,-0.4397,0.9989,-1.1424,0.51
0.1323,-0.08,-0.4589,1.0414,-1.1424,0.50
0.1292,-0.08,-0.4777,1.083,-1.1424,0.49
0.1262,-0.08,-0.4961,1.1239,-1.1424,0.48
0.1231,-0.08,-0.514,1.1642,-1.1424,0.47
0.12,-0.08,-0.5316,1.2038,-1.1424,0.46
0.1169,-0.08,-0.5488,1.2428,-1.1424,0.46
0.1138,-0.08,-0.5656,1.2813,-1.1424,0.45
0.1108,-0.08,-0.5821,1.3192,-1.1424,0.44
0.1077,-0.08,-0.5982,1.3567,-1.1424,0.43
0.1046,-0.08,-0.614,1.3938,-1.1424,0.42
0.1015,-0.08,-0.6295,1.4304,-1.1424,0.41
0.0985,-0.08,-0.6446,1.4667,-1.1424,0.40
0.0954,-0.08,-0.6593,1.5026,-1.1424,0.33
0.0923,-0.08,-0.6737,1.5381,-1.1424,0.33
0.0892,-0.08,-0.6878,1.5733,-1.1424,0.33
0.0862,-0.08,-0.7014,1.6083,-1.1424,0.32
0.0831,-0.08,-0.7147,1.6429,-1.1424,0.31
0.08,-0.08,-0.7276,1.6773,-1.1424,0.30
0.0769,-0.08,-0.74,1.7114,-1.1424,0.30
0.0738,-0.08,-0.752,1.7453,-1.1424,0.29
0.0708,-0.08,-0.7635,1.779,-1.1424,0.28
0.0677,-0.08,-0.7744,1.8126,-1.1424,0.27
0.0646,-0.08,-0.7847,1.8459,-1.1424,0.26
0.0615,-0.08,-0.7943,1.8791,-1.1424,0.26
0.0585,-0.08,-0.8032,1.9121,-1.1424,0.26
0.0554,-0.08,-0.8112,1.945,-1.1424,0.25
0.0523,-0.08,-0.8181,1.9778,-1.1424,0.25
0.0492,-0.08,-0.8239,2.0104,-1.1424,0.25
0.0462,-0.08,-0.8282,2.0431,-1.1424,0.25
0.0431,-0.08,-0.8309,2.0756,-1.1424,0.25
0.04,-0.08,-0.8314,2.1082,-1.1424,0.25
