0.165,-0.005,0.3672,0.1846,-0.238,0.133
0.1649,-0.0034,0.3819,0.1707,-0.238,0.133
0.1645,-0.0019,0.3943,0.1625,-0.238,0.133
0.1639,-0.0005,0.4039,0.1602,-0.238,0.133
0.1631,0.0009,0.4107,0.1641,-0.238,0.133
0.1621,0.0021,0.4144,0.1738,-0.238,0.133
0.1609,0.0031,0.4152,0.1891,-0.238,0.133
0.1595,0.0039,0.413,0.2093,-0.238,0.133
0.1581,0.0045,0.4082,0.2338,-0.238,0.133
0.1566,0.0049,0.4008,0.2616,-0.238,0.133
0.155,0.005,0.3913,0.2919,-0.238,0.133
0.1534,0.0049,0.3799,0.3238,-0.238,0.133
0.1519,0.0045,0.3668,0.3566,-0.238,0.133
0.1505,0.0039,0.3524,0.3893,-0.238,0.133
0.1491,0.0031,0.3369,0.4213,-0.238,0.133
0.1479,0.0021,0.3207,0.4519,-0.238,0.133
0.1469,0.0009,0.304,0.4804,-0.238,0.133
0.1461,-0.0005,0.2872,0.5063,-0.238,0.133
0.1455,-0.0019,0.2705,0.5289,-0.238,0.133
0.1451,-0.0034,0.2545,0.548,-0.238,0.133
0.145,-0.005,0.2393,0.5631,-0.238,0.133
0.1451,-0.0066,0.2253,0.5739,-0.238,0.133
0.1455,-0.0081,0.2129,0.5802,-0.238,0.133
0.1461,-0.0095,0.2025,0.5819,-0.238,0.133
0.1469,-0.0109,0.1942,0.579,-0.238,0.133
0.1479,-0.0121,0.1885,0.5715,-0.238,0.133
0.1491,-0.0131,0.1853,0.5595,-0.238,0.133
0.1505,-0.0139,0.185,0.5434,-0.238,0.133
0.1519,-0.0145,0.1876,0.5233,-0.238,0.133
0.1534,-0.0149,0.193,0.4998,-0.238,0.133
0.155,-0.015,0.2012,0.4732,-0.238,0.133
0.1566,-0.0149,0.212,0.4441,-0.238,0.133
0.1581,-0.0145,0.2252,0.4131,-0.238,0.133
0.1595,-0.0139,0.2404,0.3808,-0.238,0.133
0.1609,-0.0131,0.2573,0.348,-0.238,0.133
0.1621,-0.0121,0.2755,0.3153,-0.238,0.133
0.1631,-0.0109,0.2944,0.2837,-0.238,0.133
0.1639,-0.0095,0.3136,0.254,-0.238,0.133
0.1645,-0.0081,0.3325,0.227,-0.238,0.133
0.1649,-0.0066,0.3506,0.2036,-0.238,0.133
0.165,-0.005,0.3672,0.1846,-0.238,0.133
