0.17,-0.05,0.0218,0.382,-0.1744,0.155
0.1677,-0.05,0.0022,0.4284,-0.1744,0.155
0.1654,-0.05,-0.0164,0.4731,-0.1744,0.155
0.1631,-0.05,-0.0341,0.5161,-0.1744,0.155
0.1608,-0.05,-0.0511,0.5578,-0.1744,0.155
0.1585,-0.05,-0.0674,0.5981,-0.1744,0.155
0.1562,-0.05,-0.083,0.6374,-0.1744,0.155
0.1538,-0.05,-0.0981,0.6756,-0.1744,0.155
0.1515,-0.05,-0.1126,0.7129,-0.1744,0.155
0.1492,-0.05,-0.1265,0.7493,-0.1744,0.155
0.1469,-0.05,-0.14,0.7849,-0.1744,0.155
0.1446,-0.05,-0.153,0.8197,-0.1744,0.155
0.1423,-0.05,-0.1655,0.8539,-0.1744,0.155
0.14,-0.05,-0.1776,0.8874,-0.1744,0.155
0.1377,-0.05,-0.1893,0.9203,-0.1744,0.155
0.1354,-0.05,-0.2005,0.9527,-0.1744,0.155
0.1331,-0.05,-0.2114,0.9845,-0.1744,0.155
0.1308,-0.05,-0.2218,1.0158,-0.1744,0.155
0.1285,-0.05,-0.2319,1.0467,-0.1744,0.155
0.1262,-0.05,-0.2416,1.0771,-0.1744,0.155
0.1238,-0.05,-0.2509,1.1071,-0.1744,0.155
0.1215,-0.05,-0.2598,1.1366,-0.1744,0.155
0.1192,-0.05,-0.2683,1.1658,-0.1744,0.155
0.1169,-0.05,-0.2764,1.1947,-0.1744,0.155
0.1146,-0.05,-0.2842,1.2232,-0.1744,0.155
0.1123,-0.05,-0.2915,1.2513,-0.1744,0.155
0.11,-0.05,-0.2984,1.2791,-0.1744,0.155
0.1077,-0.05,-0.305,1.3067,-0.1744,0.155
0.1054,-0.05,-0.3111,1.3339,-0.1744,0.155
0.1031,-0.05,-0.3168,1.3608,-0.1744,0.155
0.1008,-0.05,-0.322,1.3875,-0.1744,0.155
0.0985,-0.05,-0.3268,1.4139,-0.1744,0.155
0.0962,-0.05,-0.331,1.44,-0.1744,0.155
0.0938,-0.05,-0.3348,1.4659,-0.1744,0.155
0.0915,-0.05,-0.3381,1.4916,-0.1744,0.155
0.0892,-0.05,-0.3408,1.517,-0.1744,0.155
0.0869,-0.05,-0.343,1.5422,-0.1744,0.155
0.0846,-0.05,-0.3446,1.5671,-0.1744,0.155
0.0823,-0.05,-0.3455,1.5918,-0.1744,0.155
0.08,-0.05,-0.3458,1.6163,-0.1744,0.155
